Datas;Usuários;Tweets
2020-04-11;andreeyreiis;1
2020-04-11;madutargino;1
2020-04-11;MARIAANANEVES;1
2020-04-11;_laispitsch;1
2020-04-11;CarminhaD;1
2020-04-11;PatriceLumumba1;1
2020-04-11;sofiaavbello;1
2020-04-11;asales7;1
2020-04-11;maxafj;1
2020-04-11;NATALY2009;1
2020-04-11;ThierDebora;1
2020-04-11;Institucionais1;1
2020-04-11;paulotjf11;1
2020-04-11;lwt_angeI;1
2020-04-11;Mariaclara13933;1
2020-04-11;aajapaz;1
2020-04-11;Pryscil04238595;1
2020-04-11;vallmiranda2;2
2020-04-11;valeriosobral;1
2020-04-11;A_benicioS;1
2020-04-11;karolaineeg;1
2020-04-11;Rayssa78490699;1
2020-04-11;foolishcamis;1
2020-04-11;gabissss_c;1
2020-04-11;MartiinsFe;1
2020-04-11;gS5ae4GC3GDZol3;1
2020-04-11;MarcosA21210897;1
2020-04-11;lefriguss;1
2020-04-11;raphabardes;1
2020-04-11;erickluquetta;1
2020-04-11;PBratzo;1
2020-04-11;Bah_pettermann;1
2020-04-11;araujo_canuto;1
2020-04-11;komatsuzy;1
2020-04-11;mark_marcius;1
2020-04-11;RecifeBot;1
2020-04-11;Bot_Corona_V;2
2020-04-11;CarlosP_Faria;1
2020-04-11;murilao25;1
2020-04-11;rachaelsouz4;1
2020-04-11;magxlhaes;1
2020-04-11;kandrademeurer;1
2020-04-11;ArthurRiul;1
2020-04-11;JooBern44710798;1
2020-04-11;KowalczykElaine;1
2020-04-11;Nivea_SpesEst;1
2020-04-11;Mikael15680992;1
2020-04-11;xxralf;1
2020-04-11;Crashvk;2
2020-04-11;Charlis__crf;1
2020-04-11;AndrGui99070673;1
2020-04-11;CinzamGrey;1
2020-04-11;Leo_stl_rj;1
2020-04-11;irisczy;1
2020-04-11;Sandilla10;1
2020-04-11;valbarbieri10;1
2020-04-11;edu7373;1
2020-04-11;fernandocursino;1
2020-04-11;OdaviasMachado;1
2020-04-11;RitzChanel;1
2020-04-11;sleepy_sirius;1
2020-04-11;felippetoledorj;1
2020-04-11;robertorezzende;1
2020-04-11;Gabillell;1
2020-04-11;edudoida_silva;1
2020-04-11;renynogueira;1
2020-04-11;jgs703;1
2020-04-11;followmilla;1
2020-04-11;silviaromeross;1
2020-04-11;KlisSilvia;1
2020-04-11;LeoniaEudantas;1
2020-04-11;ohhkarla;1
2020-04-11;G__ferreira;1
2020-04-11;RayssaMirella01;1
2020-04-11;pedrossn01;1
2020-04-11;ItalooFernandes;1
2020-04-11;5511design;1
2020-04-11;andreafls;1
2020-04-11;juh_cdss;1
2020-04-11;MatheusZuma;1
2020-04-11;MarcosB00324786;1
2020-04-11;RenataAryella;1
2020-04-11;MarceloXXIAlves;1
2020-04-11;Raquelnas77;1
2020-04-11;xluanamoonx;1
2020-04-11;pluggboy_3;1
2020-04-11;rafacrod;1
2020-04-11;srxydirtylove;1
2020-04-11;naitawyn;1
2020-04-11;MariaMexs;1
2020-04-11;Anna91792543;1
2020-04-11;CanttoLima;1
2020-04-11;haryadnecardoso;1
2020-04-11;Mtnezz;1
2020-04-11;marcellyconc;1
2020-04-11;gob_1971;1
2020-04-11;_mariaportel;1
2020-04-11;SREricsou;1
2020-04-11;helenaapat;1
2020-04-11;fidelispaulino;1
2020-04-11;fartinhadistooo;1
2020-04-11;nadiards;1
2020-04-11;politico_br;1
2020-04-11;thepinktusa;1
2020-04-11;n4thanzin;1
2020-04-11;m_macieel;1
2020-04-11;yzorzetto;1
2020-04-11;nifa_isa;1
2020-04-11;CarvalhoSuzete;1
2020-04-11;_plantaseed;1
2020-04-11;SamuOliveira99;1
2020-04-11;jujunaka;1
2020-04-11;Martin53304335;1
2020-04-11;larimatsui;1
2020-04-11;laranjinha_http;1
2020-04-11;ChungoKelson;1
2020-04-11;Felipe08450181;1
2020-04-11;_andreinacio;1
2020-04-11;Tiringa4;1
2020-04-11;ChiquiS49009843;1
2020-04-11;Shirley30596395;2
2020-04-11;jjuSantooss;1
2020-04-11;lucas_konen;1
2020-04-11;theuswan;1
2020-04-11;enzueirokkjss;1
2020-04-11;fontes_joseluiz;1
2020-04-11;MariaHartmann07;1
2020-04-11;sofbbs;1
2020-04-11;GeninhoFigue;1
2020-04-11;brunovittor_;1
2020-04-11;Iank41;1
2020-04-11;_ribeiraoo;1
2020-04-11;cinthiadan3;1
2020-04-11;bethferrao;1
2020-04-11;afsampaiocardio;1
2020-04-11;RenatoGlaser;1
2020-04-11;pgeus;2
2020-04-11;carla_mayrink;1
2020-04-11;carolsmanioto_;1
2020-04-11;Yzaaia;2
2020-04-11;Renan_S_Rezende;1
2020-04-11;andfreo;1
2020-04-11;Eduard1003;1
2020-04-11;bhadlips;1
2020-04-11;InstitutoCatitu;1
2020-04-11;Dudu81320955;1
2020-04-11;Kauanny73497676;1
2020-04-11;barbiezinha_027;1
2020-04-11;__JOBZINHA___;1
2020-04-11;karmenino;1
2020-04-11;marcomiranda196;1
2020-04-11;livia_ferreir4;1
2020-04-11;khell03;1
2020-04-11;carimeyas;1
2020-04-11;renjuncorno;1
2020-04-11;propalando;1
2020-04-11;Demos_F;1
2020-04-11;Gege_soares23;1
2020-04-11;INOUE08364819;1
2020-04-11;nunoalmeida00;1
2020-04-11;lxurinhx;1
2020-04-11;Danilo_Silva_;1
2020-04-11;fermabruna;1
2020-04-11;PauloStFlexa;1
2020-04-11;yasssmesquita;1
2020-04-11;halasmoreira;1
2020-04-11;PauloFe58211713;1
2020-04-11;nino_fredo;1
2020-04-11;PMorzak;1
2020-04-11;higabrielly;1
2020-04-11;RoseSilvaReal;1
2020-04-11;gladmessias;1
2020-04-11;paulollaque;1
2020-04-11;peramodideuu;1
2020-04-11;CFaria_;1
2020-04-11;um44kcitou19;1
2020-04-11;giancarlomass37;1
2020-04-11;pavanzinhal;1
2020-04-11;Isazinha5;1
2020-04-11;EuSouOGabi;1
2020-04-11;anac_r3;1
2020-04-11;realgabizera;1
2020-04-11;carlosrici_;1
2020-04-11;RamonCHQ;1
2020-04-11;_Claudio_Oliver;1
2020-04-11;belvangrol;1
2020-04-11;pretin214;1
2020-04-11;tablzgabi;1
2020-04-11;giuliacittadin;1
2020-04-11;PAULOBERTOLOPC;1
2020-04-11;kldm_;1
2020-04-11;FormigaDB;1
2020-04-11;vlgamba;1
2020-04-11;LasRodr83083125;1
2020-04-11;xsammyls;1
2020-04-11;rluizhoffmann;1
2020-04-11;gabbi_Ram0s;1
2020-04-11;taaielisa;1
2020-04-11;Nt_oliveira22;1
2020-04-11;thedavidreasons;1
2020-04-11;Lilgio1211;1
2020-04-11;LuanzaoSCCP;1
2020-04-11;laura_sousa7;1
2020-04-11;couniflower;1
2020-04-11;martabaptista30;1
2020-04-11;bjs_pretaa;1
2020-04-11;MiLick74;1
