Datas;Usuários;Tweets
2020-04-11;madutargino;1
2020-04-11;MARIAANANEVES;1
2020-04-11;CarminhaD;1
2020-04-11;PatriceLumumba1;1
2020-04-11;asales7;1
2020-04-11;maxafj;1
2020-04-11;ThierDebora;1
2020-04-11;paulotjf11;1
2020-04-11;lwt_angeI;1
2020-04-11;vallmiranda2;2
2020-04-11;A_benicioS;1
2020-04-11;Rayssa78490699;1
2020-04-11;foolishcamis;1
2020-04-11;raphabardes;1
2020-04-11;erickluquetta;1
2020-04-11;araujo_canuto;1
2020-04-11;komatsuzy;1
2020-04-11;mark_marcius;1
2020-04-11;RecifeBot;1
2020-04-11;Bot_Corona_V;2
2020-04-11;CarlosP_Faria;1
2020-04-11;kandrademeurer;1
2020-04-11;JooBern44710798;1
2020-04-11;KowalczykElaine;1
2020-04-11;Nivea_SpesEst;1
2020-04-11;Crashvk;2
2020-04-11;Charlis__crf;1
2020-04-11;AndrGui99070673;1
2020-04-11;CinzamGrey;1
2020-04-11;Leo_stl_rj;1
2020-04-11;Sandilla10;1
2020-04-11;valbarbieri10;1
2020-04-11;edu7373;1
2020-04-11;OdaviasMachado;1
2020-04-11;RitzChanel;1
2020-04-11;Gabillell;1
2020-04-11;edudoida_silva;1
2020-04-11;renynogueira;1
2020-04-11;jgs703;1
2020-04-11;followmilla;1
2020-04-11;KlisSilvia;1
2020-04-11;LeoniaEudantas;1
2020-04-11;RayssaMirella01;1
2020-04-11;pedrossn01;1
2020-04-11;ItalooFernandes;1
2020-04-11;juh_cdss;1
2020-04-11;MatheusZuma;1
2020-04-11;MarcosB00324786;1
2020-04-11;RenataAryella;1
2020-04-11;MarceloXXIAlves;1
2020-04-11;Raquelnas77;1
2020-04-11;xluanamoonx;1
2020-04-11;rafacrod;1
2020-04-11;srxydirtylove;1
2020-04-11;MariaMexs;1
2020-04-11;Anna91792543;1
2020-04-11;CanttoLima;1
2020-04-11;gob_1971;1
2020-04-11;SREricsou;1
2020-04-11;helenaapat;1
2020-04-11;fidelispaulino;1
2020-04-11;fartinhadistooo;1
2020-04-11;nadiards;1
2020-04-11;n4thanzin;1
2020-04-11;m_macieel;1
2020-04-11;yzorzetto;1
2020-04-11;CarvalhoSuzete;1
2020-04-11;SamuOliveira99;1
2020-04-11;jujunaka;1
2020-04-11;Martin53304335;1
2020-04-11;larimatsui;1
2020-04-11;ChungoKelson;1
2020-04-11;Felipe08450181;1
2020-04-11;_andreinacio;1
2020-04-11;Tiringa4;1
2020-04-11;ChiquiS49009843;1
2020-04-11;Shirley30596395;2
2020-04-11;jjuSantooss;1
2020-04-11;lucas_konen;1
2020-04-11;enzueirokkjss;1
2020-04-11;fontes_joseluiz;1
2020-04-11;MariaHartmann07;1
2020-04-11;GeninhoFigue;1
2020-04-11;Iank41;1
2020-04-11;_ribeiraoo;1
2020-04-11;cinthiadan3;1
2020-04-11;bethferrao;1
2020-04-11;RenatoGlaser;1
2020-04-11;pgeus;2
2020-04-11;carla_mayrink;1
2020-04-11;Yzaaia;2
2020-04-11;Renan_S_Rezende;1
2020-04-11;InstitutoCatitu;1
2020-04-11;Dudu81320955;1
2020-04-11;Kauanny73497676;1
2020-04-11;__JOBZINHA___;1
2020-04-11;marcomiranda196;1
2020-04-11;livia_ferreir4;1
2020-04-11;khell03;1
2020-04-11;renjuncorno;1
2020-04-11;Demos_F;1
2020-04-11;INOUE08364819;1
2020-04-11;nunoalmeida00;1
2020-04-11;lxurinhx;1
2020-04-11;Danilo_Silva_;1
2020-04-11;PauloFe58211713;1
2020-04-11;nino_fredo;1
2020-04-11;PMorzak;1
2020-04-11;higabrielly;1
2020-04-11;RoseSilvaReal;1
2020-04-11;paulollaque;1
2020-04-11;CFaria_;1
2020-04-11;um44kcitou19;1
2020-04-11;giancarlomass37;1
2020-04-11;Isazinha5;1
2020-04-11;anac_r3;1
2020-04-11;_Claudio_Oliver;1
2020-04-11;belvangrol;1
2020-04-11;pretin214;1
2020-04-11;tablzgabi;1
2020-04-11;PAULOBERTOLOPC;1
2020-04-11;kldm_;1
2020-04-11;FormigaDB;1
2020-04-11;vlgamba;1
2020-04-11;taaielisa;1
2020-04-11;Nt_oliveira22;1
2020-04-11;thedavidreasons;1
2020-04-11;LuanzaoSCCP;1
2020-04-11;laura_sousa7;1
2020-04-11;couniflower;1
2020-04-11;martabaptista30;1
2020-04-11;bjs_pretaa;1
2020-04-11;MiLick74;1
2020-04-11;alexand19977272;1
2020-04-11;Wandito0;1
2020-04-11;Simone43423351;1
2020-04-11;d_meryt;1
2020-04-11;pedrynlamounier;1
2020-04-11;PauloVieira16;1
2020-04-11;RaquelS76705080;1
2020-04-11;antounh;3
2020-04-11;BolsonaroFerro;1
2020-04-11;republicanaES;1
2020-04-11;Vitinho_fds;1
2020-04-11;irisfernandex;1
2020-04-11;MariaSa38683415;1
2020-04-11;alanschmidel;1
2020-04-11;iagorizzo;1
2020-04-11;AnaParanhos9;1
2020-04-11;Cristinie04;1
2020-04-11;PACO_05;1
2020-04-11;_brunaa_silvaa;1
2020-04-11;d_oliv2;1
2020-04-11;Ramoniusss;1
2020-04-11;lpirolla;1
2020-04-11;brunof36485354;1
2020-04-11;maupessoa;1
2020-04-11;Rodrigo67523384;1
2020-04-11;wladimisaboia;1
2020-04-11;GstvCastro;1
2020-04-11;sccpmille;1
2020-04-11;rbrdudaa;1
2020-04-11;pouxadijaa;1
2020-04-11;kelsonbueno;1
2020-04-11;bifa1345;1
2020-04-11;Mariaforte_03;1
2020-04-11;aurelio_tt;1
2020-04-11;librianjamari;1
2020-04-11;TurraAntonio;1
2020-04-11;cassiagontijo;1
2020-04-11;tthebiebers;1
2020-04-11;franki_janes;1
2020-04-11;lairton_ton;1
2020-04-11;jessimineiro;1
2020-04-11;qtiroviadu;1
2020-04-11;NovoLauropro;1
2020-04-11;wanderley999;1
2020-04-11;ggukksweet;1
2020-04-11;SadGirl1o;1
2020-04-11;DJGBOFC;1
2020-04-11;Lc_Martiins33;1
2020-04-11;Eltongonzaga3;1
2020-04-11;elzinhomec;1
2020-04-11;hsm_fisico;1
2020-04-11;Naufel00645226;1
2020-04-11;stomachachecake;1
2020-04-11;laishmorais;1
2020-04-11;Andre48991682;1
2020-04-11;ElainePrudente;1
2020-04-11;gabrielfirmee;1
2020-04-11;Luuh_Alves2804;1
2020-04-11;inesoliveiraaa3;1
2020-04-11;rlima09;1
2020-04-11;GeovanaGab16;2
2020-04-11;moreirac8;1
2020-04-11;RodrigoDrummon1;1
2020-04-11;VictorRib;1
2020-04-11;Lolana64;1
2020-04-11;MonicaReginade7;1
2020-04-11;MEIRAFERR;1
2020-04-11;Gio_twd;1
2020-04-11;moniquemartinns;1
2020-04-11;Yurisantoss_10;1
2020-04-11;AnaBeatrizpazet;1
2020-04-11;E_lolixo;1
2020-04-11;adnanelkadri1;1
2020-04-11;Henrique8911;1
2020-04-11;tucoDF74;1
2020-04-11;rodrigviet;1
2020-04-11;brendaptorress;1
2020-04-11;lisjinseok;1
2020-04-11;mondestte;1
2020-04-11;sa_vanderley;1
2020-04-11;RhuanB0T;1
2020-04-11;conadi_;1
2020-04-11;ValenteBR1;1
2020-04-11;agcguastella;1
2020-04-11;claudiaadionato;1
2020-04-11;pretendbethomas;1
2020-04-11;AntonioSous;1
2020-04-11;maramorais__;1
2020-04-11;Andrew_Spartano;2
2020-04-11;DiegoBeltrame8;1
2020-04-11;_arthvrr;1
2020-04-11;nasciimentofer;1
2020-04-11;okaycaioo;1
2020-04-11;DDanielmagalhes;1
2020-04-11;CludiaM43627376;1
2020-04-11;patricialopesel;1
2020-04-11;AbnerFerreira6;1
2020-04-11;nicolerosario__;1
2020-04-11;_caaaarol;1
2020-04-11;josesan56005758;1
2020-04-11;Padias77;1
2020-04-11;lucia98624147;2
2020-04-11;OiLulu1;2
2020-04-11;BrgAndre77;1
2020-04-11;marysp_s;1
2020-04-11;LIRAXXX;1
2020-04-11;pseudolouisxiv;1
2020-04-11;Sheilaprangel;1
2020-04-11;aviladcv;1
2020-04-11;Manumeurer;1
2020-04-11;VFactum;1
2020-04-11;Ruicunh48778745;1
2020-04-11;estrlwx;1
2020-04-11;Inesoliveira27;1
2020-04-11;Tente09;1
2020-04-11;sarahaboul_;1
2020-04-11;getuliosantana;1
2020-04-11;lavischx;1
2020-04-11;ribeiroiingrid;1
2020-04-11;Eu_Vagabundoo;1
2020-04-11;eridaoo;1
2020-04-11;aninha_b11;1
2020-04-11;apurezadaflor;1
2020-04-11;raphaelsaraiva;1
2020-04-11;eumayloira157;1
2020-04-11;mcosti_;1
2020-04-11;CassiaVF;1
2020-04-11;cainazin_;1
2020-04-11;kxyanan;1
2020-04-11;LisoTudo;1
2020-04-11;EliziarioAraujo;1
2020-04-11;naomesegueque;1
2020-04-11;_andre__luis_;1
2020-04-11;ju_auer;1
2020-04-11;paulads59;1
2020-04-11;palacio_papel;1
2020-04-11;MarciaP_RJ;1
2020-04-11;CleberSilvaDos4;1
2020-04-11;gatinha_caiafa;1
2020-04-11;Maari_Vieeira;1
2020-04-11;Vendochocolate;2
2020-04-11;ionefreitas;1
2020-04-11;Karolineedias;1
2020-04-11;douglascolares1;1
2020-04-11;isabrito__;1
2020-04-11;Ligitasss;1
2020-04-11;leticiaacarv_;1
2020-04-11;atdalexandre;1
2020-04-11;inesfmoreira_22;1
2020-04-11;OCerebro_;1
2020-04-11;_souzalauraa;1
2020-04-11;plutoulaula;1
2020-04-11;juliana_salesA;1
