Datas;Usuários;Tweets
2020-03-20;Naaclara0;1
2020-03-20;arcanjoOficial;1
2020-03-20;R_Ramba09;1
2020-03-20;RhysandAaron;1
2020-03-20;capartensucette;1
2020-03-20;hellenmgf;1
2020-03-20;Stupid_Pansder;1
2020-03-20;ItsCotovia;1
2020-03-20;marciov01210938;1
2020-03-20;mavdarctic;1
2020-03-20;selecoesbrasil;1
2020-03-20;alrenators;1
2020-03-20;chanel_n515;1
2020-03-20;Vincenzo7D;1
2020-03-20;AdsCria;1
2020-03-20;tbnaomateijoana;1
2020-03-20;jordao_v18;1
2020-03-20;_millyds;1
2020-03-20;mmarinhomkt;1
2020-03-20;richtozz;1
2020-03-20;farias_leonidas;2
2020-03-20;ptribeirao;11
2020-03-20;PocMenLgbt;1
2020-03-20;as_dobr;1
2020-03-20;domingosdamota;1
2020-03-20;ravenagarai;2
2020-03-20;peaarchno;1
2020-03-20;drezudu;1
2020-03-20;monteiro_crff;1
2020-03-20;dylandidi98;1
2020-03-20;FellipheGalo13;1
2020-03-20;OGBARATA;1
2020-03-20;LeticiaDiass9;1
2020-03-20;laura_alc4ntara;1
2020-03-20;marciano_renato;1
2020-03-20;lwtofmines;1
2020-03-20;mariaclara_prad;1
2020-03-20;BahAlexandra01;1
2020-03-20;JRPenha;2
2020-03-20;Venus_Gabi;1
2020-03-20;Lunuell;1
2020-03-20;_gabsobrinho;1
2020-03-20;RehemNascimento;1
2020-03-20;Junim0liveira;1
2020-03-20;acsbuarque;1
2020-03-20;anajuol_;1
2020-03-20;inhamaria;1
2020-03-20;prelciodesouza;5
2020-03-20;idkbutIdcare;1
2020-03-20;AdrianoFi5;1
2020-03-20;martaterapia;1
2020-03-20;samuelottaviano;1
2020-03-20;onlydeborahh;1
2020-03-20;pedroassunca;1
2020-03-20;petranael;1
2020-03-20;RafaStrss;1
2020-03-20;wander_galego;1
2020-03-20;rafzreal;1
2020-03-20;Edpapel;1
2020-03-20;luizfranciscofp;2
2020-03-20;BeeSantos__;1
2020-03-20;Isabellisima15;1
2020-03-20;Carmenalde;1
2020-03-20;poesiabandida;1
2020-03-20;keitipewy;1
2020-03-20;ceifad0ra;1
2020-03-20;VMS_AC;1
2020-03-20;botsensacional;1
2020-03-20;ffc_dpaula;1
2020-03-20;JLJuninho;1
2020-03-20;bellesciamana;1
2020-03-20;BrokilisOver;1
2020-03-20;pedromachado003;1
2020-03-20;moreiraxxxx;2
2020-03-20;leojotta;1
2020-03-20;mariaeddasilva;1
2020-03-20;bassemvaudais;1
2020-03-20;pdeparoxetina;1
2020-03-20;JosVix;1
2020-03-20;Cadeoaras_;1
2020-03-20;cammilasilva1;1
2020-03-20;RamonBitt;1
2020-03-20;clitoria_erekta;1
2020-03-20;blurredlion;1
2020-03-20;renjxnqian;1
