user,text,created_at
DisMaia,Não fui trabalhar hoje pq tava com dor de cabeça forte e a garganta raspando. Minha mãe surtou e começou a chorar pra eu não sair de casa por causa do corona. To vendo que vou ser demitida por isso.,2020-03-20
nns_nayara,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
KLEO60734347,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
greicecampos,"Tem muita gente sendo demitida 
Tem autônomo sem conseguir ter o dinheiro para o básico 
Tem gente que nem acesso a saneamento básico tem imagine álcool em gel 
O corona tá aumentando ainda mais a desigualdade. Acorda seus rebanho de porra!",2020-03-20
masterlivros21,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
aexecutivavegan,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
bossbitchhoney,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
Ecoquimica09,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
PorquitoReal,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
lmesquita19,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
SpassosRJ,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
biballg,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
Djavanluz5988,"Minha Namorada é a mais nova vítima do Coronavirus... Ela acabou de ser demitida. O shopping novo de Lauro de Freitas, que foi inaugurado na terça, vai fechar amanhã. A empresa teve que demitir várias pessoas, e ela por ser ""nova"" na empresa, foi no bolo. 
Ta barril!",2020-03-20
BelEvWellington,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
francadudi,RT @JanaSCosta: Sou a mais nova vítima do Corona vírus. Acabei de ser demitida! Como vou fazer? Passar fome?,2020-03-20
