user,text,created_at
Akytha_beatriz,"Ok corona , agora tô desempregada !!",2020-03-20
Drielly49585795,"Corona vírus vai deixar mais gente desempregada que morta .

País agora vai quebrar com força 😔",2020-03-20
clevertonjskk,"RT @biano_catra: E tem gente brincando com essa parada de coronavirus,  varias pessoas ficando desempregada,  gente morrendo,  tudo piorand…",2020-03-20
barony1,"Esse coronavirus vai matar muita gente e deixar muita gente desempregada,tempos sombrios estão por vir.",2020-03-20
ROGRIO1011,"RT @biano_catra: E tem gente brincando com essa parada de coronavirus,  varias pessoas ficando desempregada,  gente morrendo,  tudo piorand…",2020-03-20
LuenyOliveira1,"RT @Drielly49585795: Corona vírus vai deixar mais gente desempregada que morta .

País agora vai quebrar com força 😔",2020-03-20
PedroPatetucc,"RT @carolmitrof: ⚠️AJUDEM DIVULGANDO⚠️
Minha mãe ficou desempregada a pouco tempo. Atualmente estamos vivendo da venda de doces e salada de…",2020-03-20
bianca_sharp01,"RT @carolmitrof: ⚠️AJUDEM DIVULGANDO⚠️
Minha mãe ficou desempregada a pouco tempo. Atualmente estamos vivendo da venda de doces e salada de…",2020-03-20
ja0q_,"Desempregada por tempo indeterminado, obrigada coronavirus ✌🏻😗",2020-03-20
faniesouzaa,"voltando p vida de desempregada
muito obg por nada corona virus",2020-03-20
heeycoelho_,"E ai Galera do Twitter, Devido a esse Corona e todas as crises q temos no Brasil, eu estou desempregada e tenho uma filhinha que nao espera a crise passa pra precisar das coisas. Entao gostaria de pedir a ajuda de voces para divulgarem meu trabalho. Agradeço desde ja ❤️ https://t.co/JWhRPgQkGg",2020-03-20
dari_resende,Posso convencer minha consciência que tô desempregada e sem receber uma proposta nem de trabalhar como voluntária por causa do corona vírus e não pq sou incompetente. Há males que vem para o bem né kkkk,2020-03-20
Opskatily,Queria fazer algo produtivo tipo trabalhar mas sou desempregada e com o corona por aí não vou atrás de um emprego nem fudendo,2020-03-20
QissoPena,"RT @gab_monteiiro: To tentando ficar plena mas vou ficar desempregada por conta do corona, quero chorar",2020-03-20
dreamxspace,"Vocês (quem tá podendo) reclamando e/ou fazendo meme por causa de quarentena. Meus anjos, estou de "" #quarentena"" há uns 3 anos, desde que fiquei desempregada e vivo de ""bicos"",por ser PCD e entre outras coisinhas. Estão entediados? #coronavirus #covid19brasil #CoronavirusPlantao",2020-03-20
