user,text,created_at
Reporter1_TO,"Em combate ao coronavírus, jovem desempregado se disponibiliza a fazer compras para idosos: ‘Não saia de casa’ https://t.co/0gajKZqiit https://t.co/dS8MtsWrrN",2020-03-20
mooglez,"no começo da crise do coronavirus, entrei pro grupo dos desempregados.

bom

se ansiedade não tá explodindo...",2020-03-20
soiagomsm,"Se ta sendo dificil pras celebridades que moram em casas imensas, tem a comida que quer e toda tecnologia disponivel pra se entrrterem. Imagina eu que to de desempregado, n vejo meus amigos  desde janeiro e nem dinheiro pra um hamburguer eu tenho..",2020-03-20
advinculobruno,RT @drivargas27: quanta gente ficando desempregados por causa do corona 🥺 orando pra q tudo se normalize logo,2020-03-20
caneta_m,"Se o corona não matar as pessoas, a fome por estarem desempregado irá. A economia é um detalhe que deve ser levado em conta nos planos do governo contra o corona",2020-03-20
caneta_m,"@UOL Se o corona não matar as pessoas, a fome por estarem desempregado irá. A economia é um detalhe que deve ser levado em conta nos planos do governo contra o vírus",2020-03-20
bonvivant_i,"RT @caneta_m: Se o corona não matar as pessoas, a fome por estarem desempregado irá. A economia é um detalhe que deve ser levado em conta n…",2020-03-20
Akytha_beatriz,"Ok corona , agora tô desempregada !!",2020-03-20
79Azarias,"RT @caneta_m: Se o corona não matar as pessoas, a fome por estarem desempregado irá. A economia é um detalhe que deve ser levado em conta n…",2020-03-20
Drielly49585795,"Corona vírus vai deixar mais gente desempregada que morta .

País agora vai quebrar com força 😔",2020-03-20
clevertonjskk,"RT @biano_catra: E tem gente brincando com essa parada de coronavirus,  varias pessoas ficando desempregada,  gente morrendo,  tudo piorand…",2020-03-20
barony1,"Esse coronavirus vai matar muita gente e deixar muita gente desempregada,tempos sombrios estão por vir.",2020-03-20
ROGRIO1011,"RT @biano_catra: E tem gente brincando com essa parada de coronavirus,  varias pessoas ficando desempregada,  gente morrendo,  tudo piorand…",2020-03-20
LuenyOliveira1,"RT @Drielly49585795: Corona vírus vai deixar mais gente desempregada que morta .

País agora vai quebrar com força 😔",2020-03-20
serg_nunes,Corona vírus tem no Brasil sim mas já tá virando política quero ser os governantes irá fazer mobilização quando o povo ficar desempregados..,2020-03-20
onovatoconserva,"RT @caneta_m: Se o corona não matar as pessoas, a fome por estarem desempregado irá. A economia é um detalhe que deve ser levado em conta n…",2020-03-20
PedroPatetucc,"RT @carolmitrof: ⚠️AJUDEM DIVULGANDO⚠️
Minha mãe ficou desempregada a pouco tempo. Atualmente estamos vivendo da venda de doces e salada de…",2020-03-20
marcelo_thiago1,RT @LANDOALEM: Desempregado... Obrigado Corona vírus 😁...,2020-03-20
Kyemin7,"@jorgellini @antoniocostapm Sem-abrigo, desempregados, deixaram de ser gente por causa do Covid-19. E para a semana, nem os animais têm direitos. Daqui a um mês, cada um por si e falinhas mansas de união na TV. Bem-vindo a Itália... Errr... Portugal, país de fachada.",2020-03-20
bianca_sharp01,"RT @carolmitrof: ⚠️AJUDEM DIVULGANDO⚠️
Minha mãe ficou desempregada a pouco tempo. Atualmente estamos vivendo da venda de doces e salada de…",2020-03-20
jorgellini,"RT @Kyemin7: @jorgellini @antoniocostapm Sem-abrigo, desempregados, deixaram de ser gente por causa do Covid-19. E para a semana, nem os an…",2020-03-20
ja0q_,"Desempregada por tempo indeterminado, obrigada coronavirus ✌🏻😗",2020-03-20
faniesouzaa,"voltando p vida de desempregada
muito obg por nada corona virus",2020-03-20
heeycoelho_,"E ai Galera do Twitter, Devido a esse Corona e todas as crises q temos no Brasil, eu estou desempregada e tenho uma filhinha que nao espera a crise passa pra precisar das coisas. Entao gostaria de pedir a ajuda de voces para divulgarem meu trabalho. Agradeço desde ja ❤️ https://t.co/JWhRPgQkGg",2020-03-20
dari_resende,Posso convencer minha consciência que tô desempregada e sem receber uma proposta nem de trabalhar como voluntária por causa do corona vírus e não pq sou incompetente. Há males que vem para o bem né kkkk,2020-03-20
estivison_mc,@marceloramosam Concordo. Tem q fzr o mesmos com aqueles q votaram pelo fundão e estão calados em transferir essa verba p combate ao Coronavirus e desempregado!,2020-03-20
leonardoteleot1,"@lucasaguiartl @BardoOmar Moço, o corona vírus segunda a OMT vai tirar 25 MILHÕES de empregos no mundo ! Mas o PT só no Brasil fez 13 MILHÕES de DESEMPREGADOS kkkkk 🤣 Hoje seríamos a nova Venezuela ,aí tu estarias comendo lixo como o povo Venezuelano!",2020-03-20
Preto_Carter,Paz pro mais novo desempregado. OBRIGADO CORONA VÍRUS FILHA DA PUTA agr que não fico de quarentena msm Pprt,2020-03-20
Opskatily,Queria fazer algo produtivo tipo trabalhar mas sou desempregada e com o corona por aí não vou atrás de um emprego nem fudendo,2020-03-20
gracinhaDDeusAm,"@LulaOficial Olha qm falou 
Nossa Agora sim o coronavirus morre
O cachaceiro q mais roubou o seu país 
Deixou milhões de pais de família desempregado 
Aí vem com esse papo q Bolsonaro tem feito loucura 
Ele tem feito loucura p salvar nosso Brasil da devastação q vc deixou des graça",2020-03-20
QissoPena,"RT @gab_monteiiro: To tentando ficar plena mas vou ficar desempregada por conta do corona, quero chorar",2020-03-20
dreamxspace,"Vocês (quem tá podendo) reclamando e/ou fazendo meme por causa de quarentena. Meus anjos, estou de "" #quarentena"" há uns 3 anos, desde que fiquei desempregada e vivo de ""bicos"",por ser PCD e entre outras coisinhas. Estão entediados? #coronavirus #covid19brasil #CoronavirusPlantao",2020-03-20
