user,text,created_at
Reporter1_TO,"Em combate ao coronavírus, jovem desempregado se disponibiliza a fazer compras para idosos: ‘Não saia de casa’ https://t.co/0gajKZqiit https://t.co/dS8MtsWrrN",2020-03-20
mooglez,"no começo da crise do coronavirus, entrei pro grupo dos desempregados.

bom

se ansiedade não tá explodindo...",2020-03-20
soiagomsm,"Se ta sendo dificil pras celebridades que moram em casas imensas, tem a comida que quer e toda tecnologia disponivel pra se entrrterem. Imagina eu que to de desempregado, n vejo meus amigos  desde janeiro e nem dinheiro pra um hamburguer eu tenho..",2020-03-20
advinculobruno,RT @drivargas27: quanta gente ficando desempregados por causa do corona 🥺 orando pra q tudo se normalize logo,2020-03-20
caneta_m,"Se o corona não matar as pessoas, a fome por estarem desempregado irá. A economia é um detalhe que deve ser levado em conta nos planos do governo contra o corona",2020-03-20
caneta_m,"@UOL Se o corona não matar as pessoas, a fome por estarem desempregado irá. A economia é um detalhe que deve ser levado em conta nos planos do governo contra o vírus",2020-03-20
bonvivant_i,"RT @caneta_m: Se o corona não matar as pessoas, a fome por estarem desempregado irá. A economia é um detalhe que deve ser levado em conta n…",2020-03-20
79Azarias,"RT @caneta_m: Se o corona não matar as pessoas, a fome por estarem desempregado irá. A economia é um detalhe que deve ser levado em conta n…",2020-03-20
serg_nunes,Corona vírus tem no Brasil sim mas já tá virando política quero ser os governantes irá fazer mobilização quando o povo ficar desempregados..,2020-03-20
onovatoconserva,"RT @caneta_m: Se o corona não matar as pessoas, a fome por estarem desempregado irá. A economia é um detalhe que deve ser levado em conta n…",2020-03-20
marcelo_thiago1,RT @LANDOALEM: Desempregado... Obrigado Corona vírus 😁...,2020-03-20
Kyemin7,"@jorgellini @antoniocostapm Sem-abrigo, desempregados, deixaram de ser gente por causa do Covid-19. E para a semana, nem os animais têm direitos. Daqui a um mês, cada um por si e falinhas mansas de união na TV. Bem-vindo a Itália... Errr... Portugal, país de fachada.",2020-03-20
jorgellini,"RT @Kyemin7: @jorgellini @antoniocostapm Sem-abrigo, desempregados, deixaram de ser gente por causa do Covid-19. E para a semana, nem os an…",2020-03-20
estivison_mc,@marceloramosam Concordo. Tem q fzr o mesmos com aqueles q votaram pelo fundão e estão calados em transferir essa verba p combate ao Coronavirus e desempregado!,2020-03-20
leonardoteleot1,"@lucasaguiartl @BardoOmar Moço, o corona vírus segunda a OMT vai tirar 25 MILHÕES de empregos no mundo ! Mas o PT só no Brasil fez 13 MILHÕES de DESEMPREGADOS kkkkk 🤣 Hoje seríamos a nova Venezuela ,aí tu estarias comendo lixo como o povo Venezuelano!",2020-03-20
Preto_Carter,Paz pro mais novo desempregado. OBRIGADO CORONA VÍRUS FILHA DA PUTA agr que não fico de quarentena msm Pprt,2020-03-20
gracinhaDDeusAm,"@LulaOficial Olha qm falou 
Nossa Agora sim o coronavirus morre
O cachaceiro q mais roubou o seu país 
Deixou milhões de pais de família desempregado 
Aí vem com esse papo q Bolsonaro tem feito loucura 
Ele tem feito loucura p salvar nosso Brasil da devastação q vc deixou des graça",2020-03-20
