user,text,created_at
angelobocabendi,"@bilolumi @BlogdoNoblat @monicabergamo A lei do retorno então foi mais rápida para dar uma lição em vocês gadominion né. Em menos de um ano do Bolsonaro: o desemprego aumentou, o dólar bateu R$5,00, a bolsa caiu, o combustível aumentou, o PIB bateu 1,1%, o Brasil se isolou do mundo, e agora, Pam, vem.o coronavirus.",2020-03-20
carolabiosa,"Estou aguardando os bancos, principalmente o Santander, que perdeu o presidente de Portugal para o COVID19, anunciarem crédito popular a algo entre 0,25 e 1%, com carência até que a economia brasileira se recupere a uma taxa de desemprego razoável. Tá rolando na Austrália, bora",2020-03-20
leiamoneytimes,"Desemprego na Alemanha pode chegar a 3 milhões em pior cenário https://t.co/Rn0IkJnwDR

#alemanha #desemprego #internacional #coronavirus",2020-03-20
jehkatiene,"Medo do corona vírus
Medo do desempregos
Medo da economia
Medo de perder

Eu já perdi muito. Menos o medo.",2020-03-20
andraste_88,"@EugenioCosta8 E o Alcolumbre internato devido  coronavirus? Este se reuniu com 1300 pessoas as quais o Rodrigo Maia.

Governadores do Estado de São Paulo  e do Ceará, paralisando as atividades comerciais. PROVOCANDO DESEMPREGO E FALÊNCIA DE EMPRESAS.

E O IRRESPONSÁVEL É BOLSONARO????",2020-03-20
BrandaoGueiros,"Estou aguardando os bancos, principalmente o Santander, que perdeu o presidente de Portugal para o COVID19, anunciarem crédito popular a algo entre 0,25 e 1%, com carência até que a economia brasileira se recupere a uma taxa de desemprego razoável. Tá rolando na Austrália, bora",2020-03-20
CafaFilosofico,"@HelioAlmeidaRJ @GuilhermePianca @folha @arcanjodaniela @folha_poder Olha, não entro neste debate. Se você não gosta do presidente atual terá a chance de votar em outro em breve. A situação mais séria é o tsunami pós corona virus que irá deixar um rastro de destruição econômica e desemprego, esta é a discussão.",2020-03-20
guarulhosonline,Utilização do aplicativo do seguro-desemprego é a alternativa para CIETs fechados.  #CIETs #coronavírus #covid19 #guarulhosonline #guarulhos #noticiasdeguarulhos https://t.co/iwTO9I85CU https://t.co/nVT3d501OB,2020-03-20
nemohnatiuk,Governo anuncia medidas antidesemprego e de atendimento virtual do INSS - Congresso em Foco https://t.co/5nPeZV3G22 via @GoogleNews,2020-03-20
jasmerini,e com eles o desemprego vem forte!,2020-03-20
Ceciliatomass,"E vamos de desemprego, Valeu corona vírus seu pau no cu",2020-03-20
lundwell,"Minha mae trabalha ate hoje
Ela passou a semana toda trabalhando
Ate pq o covid-19 vai tirar ferias nos dias q ela trabalhou
As empresas ja demitiram mt gente por conta desse vírus 
Vcs tem noção da onda de desemprego q isso vai gerar mano pqp",2020-03-20
AlesandroAlves,"O Ministério da Economia realiza coletiva de imprensa na tarde de quinta-feira. Entre as medidas já anunciadas, o governo disse que vai pagar uma parcela do seguro-desemprego a trabalhadores que tiverem o salário e a jornada reduzidos pelo novo coronavirus https://t.co/nFwCJQ1FSa",2020-03-20
Leonerylopes,"Pior azar nem foi ter sido mandado embora do trampo nao, foi não conseguir dar entrada no meu seguro desemprego por causa de corona viros! Kkkkkkkk",2020-03-20
JerryLandru,"desemprego, panico e morte essa é a verdade  #VirusChines",2020-03-20
