user,text,created_at
Brasil193,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
enzoenoque,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
polido_pedro,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
naosoudj,"jessica, amiga, o que ajuda mesmo nessa situação é gravar um video cantando imagine do john lennon com outros famosos, doação não viraliza não amada",2020-03-20
lucaskaldas,"#coronavirusbrasil

Xuxa, por meio de uma das suas empresas, anunciou que fará doação de R$ 1 milhão para o SUS (Sistema Único de Saúde do @minsaude) destinar aos atendimentos de pacientes acometidos pelo novo #coronavírus https://t.co/DwUFGVgtcA",2020-03-20
direitagoiasofc,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
DouglasTLacerda,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
xuxa_news,"Apresentadora Xuxa anuncia que fará doação de R$ 1 milhão para que o @minsaude utilize no SUS para o tratamento de vítimas do novo #coronavirus #coronavirusbrasil 

https://t.co/O7PnaKKk93",2020-03-20
asantos_andy,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
GilHosana,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
mailliwfs,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
GomesWester,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
DboraGPortugal2,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
buzolafa,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
NairRSantos1,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
EmilyGalaxia,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
rubemmendes,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
luizaandreiaaa,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
joaogrupotrevo,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
HENSHOES,Xuxa anuncia doação de R$ 1 milhão contra o coronavírus https://t.co/XPJZpIMmL4,2020-03-20
jfaraujoura,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
realCintiaLima,RT @depheliolopes: A UNIÃO DAS INDÚSTRIAS DE CANA DE AÇÚCAR ANUNCIA DOAÇÃO DE ALCOOL QUE SE FIZER NECESSÁRIO PARA A PRODUÇÃO DE INSUMOS NO…,2020-03-20
AlanaGandara1,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
jrs2603,@horasc Quandi vc for fazer a doação eles vão esperar o teu teste de Corona ?,2020-03-20
ekkos9,"RT @pro_sangue: ATUALIZAÇÃO DOS CRITÉRIOS DE DOAÇÃO - Coronavírus e COVID-19

Acesse: https://t.co/Sbveqinnw6 https://t.co/unZFiSJCqV",2020-03-20
Big_LancheFeliz,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
JosCarlosDant10,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
jotahsilva,"RT @revistaforum: Ministro teria recebido doação de quase R$ 150 mil da Cirumed, empresa cujo dono já foi citado em investigações da PF sob…",2020-03-20
Antoniaotavian3,RT @jairbolsonaro: - A União das Indústrias de Cana de açúcar anuncia doação de álcool que se fizer necessário para a produção de insumos n…,2020-03-20
