user,text,created_at
psrenergy,"O setor energético não parou. Assim como a PSR, o setor trabalha remotamente. E com o cenário de incertezas aumentando, seguem duvidas sobre seu impacto nos leilões de energia.
https://t.co/HvPWo8P0gW",2020-03-20
cotacaocambio,"À medida que a incerteza em torno da transmissão da COVID-19 continua a crescer em todo o mundo, a Cotação D.T.V.M. adotou uma série de medidas no intuito de precaver a disseminação do vírus, garantindo o bem-estar e a segurança de todos.",2020-03-20
agenciamadison,"Em tempos de incerteza, é importante nos unirmos para minimizar os riscos e proteger as pessoas que nos relacionamos. 

Agradecemos a compreensão de todos.

#CooperarParaControlar #NovoCoronavírus #CoronaVirus #Covid19 #TodosContraOCoronaVirus https://t.co/lyJpPur5fC",2020-03-20
AdrianaAmati,"@o_antagonista @jairbolsonaro Antagonista,   não seja parte do problema, ataca-lo com suposição não  ajuda! estamos vivendo um período já de incertezas, pra que Isso?  seja fonte de esperança para nós, procure soluções para o coronavirus!  Nosso inimigo real 
Deixa o Presidente  em paz!!",2020-03-20
DiasporaNews123,"Chefe da ONU diz que incertezas do covid-19 devem despertar solidariedade do mundo . 
O secretário-geral d... https://t.co/g1AnUgYQZJ",2020-03-20
DiasporaEngager,"Chefe da ONU diz que incertezas do covid-19 devem despertar solidariedade do mundo . 
O secretário-geral d... https://t.co/DkwLtk3jHm",2020-03-20
jjforni,"Como proteger a saúde mental na pandemia? Crise causada pelo coronavírus mergulhou o mundo na incerteza. Overdose de notícias que parecem intermináveis afeta a saúde mental, principalmente daqueles que já vivem com ansiedade e outros transtornos.",2020-03-20
AngolaUndp,"Em tempos de incerteza, o medo, excesso de informação e as notícias falsas têm um efeito devastador

A @UNDP juntou-se ao @WhatsApp, @WHO e @UNICEFAngola  para garantir que todos têm acesso às dicas mais importantes, sem deixar ninguém para trás
#COVID19 https://t.co/UFViGMxLbl",2020-03-20
elevtecnologia,"Várias empresas já estão realizando Home Office para atender seus clientes, para não perder contatos importantes e enfrentar este momento de incertezas.

Entre em contato:
(11) 3132-7070
comercial@elevtecnologia.com.br

#elevtecnologia #homeoffice  #coronavirus #COVID19 #telecom https://t.co/zgeitAPkBK",2020-03-20
Catarse41,"Coronavírus: no meio de incerteza e medo, há boas notícias acontecendo https://t.co/pItVVnAg5E via @UOL",2020-03-20
