screen_name,count
projetonutri,152
JornalDestak,60
doragouvea,48
Lusa_noticias,41
LigaAoFilipe,38
MortesCovid19,35
tovaga,34
tvi24ultimas,32
tvi24pt,32
SICNoticias,28
revistaSABADO,24
blogrobsonpires,22
jornalistavitor,20
botsensacional,20
RTPNoticias,19
UOLNoticias,18
exame,18
salvadordez,18
portalbemparana,17
noticiaminutobr,17
RdGuaibaOficial,17
TempoDiario,17
sirax07,17
Ricviz,16
Publico,16
observadorpt,16
UOL,16
plantaolagosofc,15
caiohostilio,15
JornalOGlobo,15
JosDieguez3,15
noticiasdcampos,14
DiarioPE,14
AGazetaES,14
JdLuxemburgo,14
informamaispt,14
radioagrocity,14
MayconRoss,14
tarlouze,13
_geladog,13
grnews,13
vitorinodapeste,13
VortexBrito,13
GUEDESDISCIPULO,13
correio_dopovo,13
JChapada,13
JooSilvaCar5,12
bbcbrasil,12
itajainfo,12
ojeconomico,12
Poder360,12
Infojurid,12
portalR7,12
otempo,12
MarcianoBrito13,12
marisascruz,12
elismarrodrigue,12
lucasfreitas270,12
feitalsadi,12
RomaNewsOficial,12
bsoutomaior,11
folhape,11
ominhopt,11
JovemPanNews,11
BlogdoBG,11
josesantana77,11
NovoLauropro,11
blogdovalente,11
portalbonde,11
JornalNoticias,10
fmalaco,10
dntwit,10
blogdofm_,10
JosianneRitz,10
portalcatve,10
expresso,10
luishipolito,10
giro_mt,10
primeirahoramt,10
Amarulacarvalho,10
correio,10
BLOGRSNOTICIA,10
Bethlucida,10
o_antagonista,10
Skinet20517523,10
gracinhaluder,10
caralegal1972,10
tribunadonorte,10
deborabpaim,10
blogdeassis,9
portaldeangola,9
vivabem_uol,9
claudiotognolli,9
RickyWill0309,9
wanmarcal,9
agora_rn,9
Gazetadocerrado,9
theinfomakercom,9
pnb_online,9
portalengeplus,9
portaluai,9
hertonls,9
jornalextra,9
LeoDantas87,9
soferasdomundo,9
novomomento,9
Cadamin,9
noticiaaominuto,9
osnisapb,9
gruporioclarosp,9
jornalopcao,9
radioitatiaia,8
GauchaZH,8
igamaliel,8
GlauciaLimaa,8
PolemicaParaiba,8
PortalVarada,8
HojePernambuco,8
AfraniodeAquino,8
falapetrolina,8
politicalivre,8
dzporai,8
AlmirAloisio,8
TribunaOnlineES,8
covid19br_,8
Marlon_M4,8
clagraca,8
MarcosSantosAM,8
MarcosBlog,8
MSN_Portugal,8
em_com,8
XHportugues,8
OProprioSandro1,8
jornalhojeemdia,8
noticiadosvales,8
Leia_Noticias_,8
PCBOTAFOGO,8
opovoonline,8
redeaprizion,8
PainelNoticias,8
pauloxisto,8
pearson_hard,8
ticoticorei1,8
CanalGama,8
AconteceJG,8
JacquelineLcia2,8
Roberto_SSANTOS,8
NEWSBAOficial,8
Estadao,8
bahianoar,8
1NewsBrasil,8
Renascenca,8
bocaonews,8
folha,8
studio877,8
Francis75691167,8
_bostonaro_,7
LatorredeMelo,7
reportermaceio,7
domtotal,7
drthiagoduarte,7
blogafonte,7
BlogdoNoblat,7
LeiaJaOnline,7
SAdvogados,7
ac24horas,7
oatila,7
contagemcorona1,7
NobreJorge2,7
henriquescrh,7
Binobonifa,7
Destaquenews2,7
PedroMottaB,7
diariopopularRS,7
diarioonline,7
uinstante,7
cbnrecife,7
portalMSN,7
diogomainardi,7
OdigitalPt,7
Lujoga10oficial,7
diariodosertao,7
ndtvrecordtv,7
YahooBr,7
BrcGov,7
RedeGn,7
GrupoMetropole,7
CorreioPortal,7
Coletivoto,7
ContilNet,7
fernandapsol,7
surgiu,7
dannlelis,7
correio24horas,7
MiguelCampos12,7
CougoDias,7
lux24_lu,7
aredacao,7
AdsumP,7
GripenBR,7
Ecos_da_Noticia,7
ND_mais_,7
eternalsophh,7
PROFESSOREUCIMA,7
therezafontoura,6
JornalOpais,6
noticias_hc,6
samukacamara,6
cbnvitoria,6
LinhasdeElvas,6
aprovinciadopa,6
Jornaldoadv,6
CETROGUIMARAES,6
CBNLondrina,6
Erivan_TATA,6
PalomaR35387313,6
portalajunews,6
sapo,6
JuliaMe75489206,6
sputnik_brasil,6
JornalOLiberal,6
Acordacidade,6
ipu_noticias,6
camarario,6
doldiarioonline,6
Lucimedico,6
phcardoso,6
aratuonline,6
sagres730,6
BlogdoJuares,6
EstudioHum,6
PatosemDestaque,6
RUIBRASIL13,6
f5cariri,6
asbeiras,6
PSDBoficial,6
xfischer,6
perli111,6
ReutersLatam,6
eugeniobezerra,6
cefestellita1,6
ONFM93ponto8,6
mpa_campesinato,6
gaseduardo,6
IlhaClean,6
CelioRoseno,6
MakiyoshiNagai,6
Noseioqeufaoda1,6
Varginha_online,6
ALBUQUERQUENEY,6
VEJA,6
CuiabanoNews,6
PortalBandaB,6
cjajasi,6
NinaEstevez,6
galerainfo,6
vilmar_carneiro,6
PortalRP10,6
Doorf_dollf,6
brasil247,6
EDISONJACOB11,6
rdrumond73,6
TPAngola,6
g1,6
apocombr,6
DirleteP,6
Regesmaia,6
PlatafCascais,6
MATOGROSSOMAIS1,6
WhatSaoCarlos,6
SargonC,5
ecoordinaPT,5
MendesOnca,5
ThiagoA35232800,5
bandnewsfmrio,5
Terra,5
AndradeeRoberta,5
MetroJornal,5
MidiaNewsBR,5
ReutersBrasil,5
valefm102_3,5
Korsakovisk,5
KrauseMoura,5
MirandaSa_,5
catracalivre,5
paola_fuhrmann4,5
LGC42024207,5
P__Portugal,5
RdFoco,5
TSFRadio,5
AnaBeatriceBR1,5
NaBarreira,5
Faxaju1,5
BaioneCleyton,5
araguaianoticia,5
medeirosjz,5
MortiferaSP,5
izaiaspt,5
XeuleBot,5
paraiba_ja,5
RevistaBzzz,5
vocativo,5
duterv,5
TigerMaia,5
miradouronotici,5
omunicipiobru,5
jornal_opopular,5
Marcofarma,5
ArmandoPrado7,5
Alexand49582285,5
BixoFurioso,5
g1caruaru,5
Arq_MauTavaresS,5
jornal_cultura,5
g1ceara,5
causa_operaria,5
Visao_pt,5
eliloss,5
jonesburgoverda,5
notivagos,5
georgepiaulino,5
AlfredoSergio1,5
SombrasVoz,5
cenewa,5
Yancy89164433,5
MSHoje_combr,5
mirageral1,5
News_Rondonia,5
valoreconomico,5
soberano_e,5
arquiberlula13,5
babssaude,5
VVFMMineiros,5
RegisPaivaAC,5
odiarioonline,5
sandro_vxs,5
gazetadepira,5
saviofaria_1,5
OsAmigosdaOnca,5
nenoticias,5
redepress,5
diogenesosilva,5
ale_giseli,5
radio_imbiara,5
portaldoholanda,5
imprensa_news,5
Adenilton10,5
rclube,5
blogtangaraense,5
HhmiraP,5
portaldaband,5
revistadonibus,5
ConJur_Oficial,5
fa_noticias,5
am_noticias,5
diariodopi,5
RycahDiamantosa,5
CobeHarlan,5
CntTubarao,5
diariodopara,5
diarioderiodos1,5
H2FOZ,5
expressao_ro,5
alrguerreiro,5
reporterpin,5
ddescomplicado,5
fb_conservative,5
mamanininha,5
FrancaPortal,5
iG,5
JosPaul09908258,5
FebreMania,5
JornaldeMafra,5
CremersOficial,5
DCM_online,5
tiosam_com,5
PatCoArCuMexBra,5
PatoCorporation,5
analise_covid19,5
InvestEduVelho,5
folhanobre1,5
darciorabelo,5
folhabico,5
JSAHIONE,5
JC_RS,5
JOSEESDRIBEIRO,5
davizinhopsl,5
blogdojefferson,5
rogeriosf25,5
Eduardoigbrasil,4
claudemirpe,4
TvPrefeito,4
edsongalo,4
radiobandnewsfm,4
g1saopaulo,4
radioculturafoz,4
GuineOms,4
tanosite,4
Elcy48639336,4
radiocidadetb,4
DavidJCPereira,4
ApaixonadaLA,4
movimentonline,4
bnesportes,4
saudenoar,4
Ihamma_1,4
ManuM_,4
Ary_AntiPT,4
Artistpeixera,4
chicojusto55,4
MarceloBacana,4
favaretto_g,4
MarciaSAlmeida,4
fcperrucci,4
MarcoAn48242621,4
proindio,4
Tozello,4
FusaroZila,4
CuritibaSA,4
alo_uberlandia,4
VGNoticias,4
taperanoticia,4
Martins24h,4
TodaBahia,4
ToninhoPSTU,4
dunaGL,4
selecoesbrasil,4
ConamConsultor,4
menezesjoaum,4
semprerci,4
h24news_br,4
colunadoct,4
fiqueligado02,4
colunapatriota,4
MonarquiaCo,4
combateracismo,4
dunapressjornal,4
meiahora,4
tamir_rimat,4
