Bigramas;Ocorrências;Tweets_Presente
('quarentena', 'acabou');853;853
('acabou', 'pode');643;643
('pode', 'sair');684;684
('sair', 'casa');935;935
('2020', 'tudo');2;2
('tudo', 'p');3;3
('p', 'ser');3;3
('ser', 'ano');8;8
('ano', '😖');2;2
('😖', 'corona');2;2
('corona', 'odeio');3;3
('fome', 'vai');973;973
('vai', 'matar');1150;1150
('matar', 'covid');973;973
('covid', 'diz');971;971
('diz', 'povo');971;971
('povo', 'sempre');971;971
('sempre', 'contra');971;971
('contra', 'bolsa');971;971
('bolsa', 'família');972;972
('admiro', 'tanto');84;84
('tanto', 'dorme');84;84
('dorme', 'antes');85;85
('antes', '00:00');84;84
('00:00', 'nesta');84;84
('nesta', 'quarentena');301;301
('lá', 'vem');21;21
('vem', 'golpe');21;21
('golpe', 'china');21;21
('china', 'oferece');112;112
('oferece', 'enviar');112;112
('enviar', 'médicos');112;112
('médicos', 'brasil');114;114
('brasil', 'ajudar');21;21
('ajudar', 'combate');21;21
('combate', 'corona');24;24
('corona', 'vírus');795;795
('vírus', 'https://t.co/g4dIirnyk3');21;21
('resumindo', 'quarentena');141;141
('quarentena', 'prolongada');131;131
('prolongada', 'vai');131;131
('matar', 'tempo');131;131
('tempo', 'vai');133;133
('vai', 'mostrar');131;131
('mostrar', 'quer');131;131
('quer', 'salvar');131;131
('salvar', 'vidas');145;145
('vidas', 'https://t.co/EDRarpJ…');17;17
('turma', 'demente');16;16
('demente', 'ainda');16;16
('ainda', 'tenta');16;16
('tenta', 'sequestrar');16;16
('sequestrar', 'cores');16;16
('cores', 'bandeira');16;16
('bandeira', 'país');16;16
('país', 'si');16;16
('prefeitos', 'governadores');40;40
('governadores', 'afrouxarem');10;10
('afrouxarem', 'regras');20;20
('regras', 'distanciamento');20;20
('distanciamento', 'social');935;935
('social', 'podem');10;10
('podem', 'ser');20;20
('ser', 'alvos');10;10
('alvos', 'ação');10;10
('ação', 'improbidade');10;10
('improbidade', 'https://t.co/…');10;10
('denúncia', 'spectator');33;33
('spectator', 'janeiro');33;33
('janeiro', 'surto');33;33
('surto', 'covid');49;49
('covid', '19');7072;7045
('19', 'china');33;33
('china', 'sensibilizada');33;33
('sensibilizada', 'itália');33;33
('itália', 'doa');34;34
('doa', 'insumos');33;33
('insumos', 'país');33;33
('país', 'china');33;33
('china', 'ag');33;33
('quarentena', 'casa');21;21
('casa', 'https://t.co/drG6S05Csw');2;2
('6', 'países');1;1
('países', 'g20');1;1
('g20', 'têm');1;1
('têm', 'hoje');1;1
('hoje', 'confinamento');1;1
('confinamento', 'compulsório');1;1
('compulsório', 'quarentena');1;1
('quarentena', 'horizontal');8;8
('horizontal', '):');1;1
('):', 'áfrica');1;1
('áfrica', 'sul');1;1
('sul', 'argentina');1;1
('argentina', 'espanha');1;1
('espanha', 'frança');1;1
('ok', 'ta');43;43
('ta', 'lindo');43;43
('indo', 'escola');440;440
('escola', 'dps');441;441
('dps', 'quarentena');566;566
('quarentena', 'ter');460;460
('ter', 'entendido');440;440
('entendido', 'nenhuma');440;440
('nenhuma', 'matéria');440;440
('matéria', 'pq');440;440
('pq', 'fiquei');441;441
('fiquei', 'preguiça');440;440
('preguiça', 'ver');440;440
('ver', 'vídeos');440;440
