;Palavras
@viiih2906 A;636
A quarentena;930
quarentena acabou;683
acabou Já;639
Já pode;640
pode sair;684
sair de;933
de casa;1022
@rubbgc 2020;2
2020 tinha;2
tinha tudo;2
tudo p;3
p ser;3
ser meu;5
meu ano;34
ano 😖;2
😖 corona;2
corona te;2
te odeio;9
@andreawerner_ “A;970
“A fome;971
fome vai;973
vai matar;1133
matar muito;971
muito mais;992
mais que;1026
que o;2756
o covid”;971
covid” diz;971
diz o;978
o povo;1566
povo que;1024
que sempre;974
sempre foi;972
foi contra;976
contra bolsa;971
bolsa família;972
@souocaetano Admiro;84
Admiro tanto;84
tanto quem;85
quem dorme;85
dorme antes;85
antes da;245
da 00:00;84
00:00 nesta;84
nesta quarentena;300
@R2D2Nervoso Lá;21
Lá vem;21
vem o;23
o Golpe;21
Golpe China;21
China oferece;112
oferece enviar;112
enviar médicos;112
médicos ao;112
ao Brasil;120
Brasil para;350
para ajudar;38
ajudar no;23
no combate;70
combate ao;137
ao Corona;23
Corona vírus;87
vírus https://t.co/g4dIirnyk3;21
@GFiuza_Oficial Resumindo;131
Resumindo quarentena;131
quarentena prolongada;131
prolongada vai;131
matar MAIS;131
MAIS O;131
O tempo;136
tempo vai;132
vai mostrar;131
mostrar quem;131
quem quer;137
quer mesmo;132
mesmo salvar;131
salvar vidas;138
vidas https://t.co/EDRarpJ…;17
@otaviouga E;16
E essa;22
essa turma;16
turma demente;16
demente ainda;16
ainda tenta;16
tenta sequestrar;16
sequestrar as;16
as cores;16
cores e;16
e a;826
a bandeira;16
bandeira do;16
do país;51
país para;17
para si;16
@GauchaZH Prefeitos;10
Prefeitos e;38
e governadores;39
governadores que;37
que afrouxarem;42
afrouxarem regras;20
regras de;41
de distanciamento;74
distanciamento social;901
social podem;10
podem ser;20
ser alvos;10
alvos de;10
de ação;10
ação de;11
de improbidade;10
improbidade https://t.co/…;10
@rodrigodasilva Denúncia;33
Denúncia da;33
da Spectator;33
Spectator Janeiro;33
Janeiro Surto;33
Surto de;33
de COVID-19;652
COVID-19 na;39
na China;48
China Sensibilizada;33
Sensibilizada a;33
a Itália;51
Itália doa;34
doa insumos;33
insumos para;38
para o;481
o país;107
país A;34
A China;38
China ag…;33
@alechandracomix a;2
a quarentena;4039
quarentena na;14
na minha;127
minha casa;74
casa https://t.co/drG6S05Csw;2
@ernestofaraujo Só;1
Só 6;1
6 países;1
países do;2
do G20;2
G20 têm;1
têm hoje;1
hoje confinamento;1
confinamento compulsório;1
compulsório (quarentena;1
(quarentena horizontal);1
horizontal) África;1
África do;1
do Sul;211
Sul Argentina;1
Argentina Espanha;1
Espanha França…;1
@tiagomvsampaio ok;43
ok ;43
 isto;43
isto ta;45
ta lindo;43
@lauxh_ eu;440
eu indo;487
indo para;443
para a;690
a escola;442
escola dps;441
dps da;562
da quarentena;3518
quarentena sem;568
sem ter;450
ter entendido;440
entendido nenhuma;440
nenhuma matéria;440
matéria pq;440
pq fiquei;440
fiquei com;441
com preguiça;442
preguiça de;442
de ver;460
ver as;441
as vídeos;440
vídeos aulas;440
aulas e;440
e saben…;440
@pagodeanos90 Aquele;807
Aquele clássico;807
clássico pra;807
pra enviar;809
enviar na;807
na quarentena;3349
quarentena https://t.co/dIc56gdBsd;807
@OsmarTerra Engraçada;63
Engraçada a;63
a imprensa.Diz;63
imprensa.Diz q;63
q estou;67
estou desmoralizado;63
desmoralizado por;63
por prever;63
prever menos;63
menos mortes;63
mortes d;63
d Covid-19;63
Covid-19 e;255
e aplaude;63
aplaude aqueles;63
aqueles q;63
q fizeram;63
fizeram previsões;63
previsões cat…;63
@sch4tzmann me;2
me arrepiei;2
arrepiei toda;2
toda KKK;2
@curtovcs Ministério;6
Ministério da;271
da saúde;127
saúde quarentena;6
acabou já;19
já podem;64
podem sair;229
casa Eu;28
@safopreta Então;7
Então amigas;7
amigas comecei;7
comecei a;12
a fazer;440
fazer colagem;7
colagem digital;7
digital no;7
no começo;14
começo dessa;7
dessa quarentena;278
quarentena e;404
e criei;7
criei um;8
um instagram;7
instagram pra;7
pra postar;8
postar Se;7
Se alguém;26
alguém se;7
se inte…;7
@GringaBrazilien @robsongfreire;12
@robsongfreire Matéria;4
Matéria tá;4
tá c;4
c Paywall;4
Paywall masem;4
masem tempos;4
tempos de;102
de Covid;24
Covid tô;4
tô nem;6
nem aí;11
aí lê;4
lê de;4
de graça;10
graça aqui;4
aqui no;37
no translator;4
translator 😉;4
😉 👉;4
👉 https://t.c…;4
@brunasantini medo;38
medo de;60
de ir;70
ir na;45
na cozinha;41
cozinha e;39
e encontrar;39
encontrar um;38
um influencer;38
influencer gritando;38
gritando SEJA;38
SEJA PRODUTIVO;38
PRODUTIVO NESSA;38
NESSA QUARENTENA;44
@CarlosBolsonaro Confere;165
Confere Que;165
Que Deus;180
Deus conforte;167
conforte esta;165
esta família;184
@vxmedina evite;339
