;num_tweets
@viiih2906;636
A;5195
quarentena;22105
acabou;1051
Já;1677
pode;1623
sair;1311
de;24410
@rubbgc;2
2020;648
tinha;244
tudo;546
p;335
ser;1202
meu;1342
ano;255
😖;2
corona;2134
te;352
@andreawerner_;970
“A;986
fome;1050
vai;2281
matar;1209
muito;1538
mais;3617
que;16182
o;15465
covid”;971
diz;1794
povo;1777
sempre;1045
foi;2096
contra;3489
bolsa;974
@souocaetano;84
Admiro;99
tanto;233
quem;1596
dorme;88
antes;622
da;13499
00:00;84
nesta;347
@R2D2Nervoso;21
Lá;26
vem;290
Golpe;21
China;971
oferece;113
enviar;921
médicos;299
ao;1882
Brasil;3017
para;6392
ajudar;104
no;6008
combate;342
Corona;540
vírus;1022
@GFiuza_Oficial;183
Resumindo;133
prolongada;133
MAIS;195
O;5152
tempo;652
mostrar;162
quer;463
mesmo;703
salvar;159
vidas;73
@otaviouga;16
E;1456
essa;1217
turma;80
demente;18
ainda;624
tenta;21
sequestrar;16
as;3490
cores;20
e;16044
a;19833
bandeira;41
do;8980
país;299
@GauchaZH;16
Prefeitos;45
governadores;173
afrouxarem;52
regras;49
distanciamento;942
social;1124
podem;425
alvos;10
ação;23
improbidade;57
@rodrigodasilva;502
Denúncia;33
Spectator;33
Janeiro;250
Surto;33
COVID-19;1165
na;7427
Sensibilizada;33
Itália;326
doa;93
insumos;41
@alechandracomix;2
minha;1299
casa;1689
@ernestofaraujo;7
Só;384
6;49
países;121
G20;2
têm;85
hoje;612
confinamento;206
compulsório;1
(quarentena;1
horizontal);1
África;34
Sul;254
Argentina;434
Espanha;44
@tiagomvsampaio;43
ok;81
;2013
isto;76
ta;714
@lauxh_;440
eu;5591
indo;618
escola;464
dps;659
sem;1538
ter;1649
entendido;440
nenhuma;569
matéria;475
pq;985
fiquei;452
com;7506
preguiça;442
ver;1111
vídeos;507
aulas;463
@pagodeanos90;832
Aquele;811
clássico;807
pra;4089
@OsmarTerra;1191
Engraçada;63
imprensa.Diz;63
q;1898
estou;788
desmoralizado;114
por;5230
prever;65
menos;469
mortes;1019
d;138
Covid-19;2399
aplaude;63
aqueles;142
fizeram;109
previsões;119
@sch4tzmann;2
me;1527
arrepiei;3
toda;175
@curtovcs;6
Ministério;340
saúde;780
já;1749
@safopreta;7
Então;155
amigas;318
comecei;12
fazer;1484
colagem;8
digital;10
começo;132
dessa;703
criei;9
um;3916
instagram;63
postar;69
Se;888
alguém;173
se;3004
@GringaBrazilien;18
@robsongfreire;13
Matéria;4
tá;1828
c;315
Paywall;4
masem;4
tempos;134
Covid;209
tô;308
nem;391
aí;359
lê;6
graça;12
aqui;693
translator;4
😉;5
👉;5
@brunasantini;38
medo;123
ir;349
cozinha;66
encontrar;54
influencer;38
gritando;40
SEJA;38
PRODUTIVO;38
NESSA;48
@CarlosBolsonaro;237
Confere;165
Que;420
Deus;326
conforte;167
esta;488
@vxmedina;342
evite;351
aglomerações;559
fique;384
só;2545
@kuadechefe;95
Eu;1040
primeiro;465
dia;1506
quando;1389
acabar;1088
@ManuelAlvoVela;1
@AMendoncaAGU;594
@valdemirpaixao;1
Olha;39
@slslivre;9
Morreram;112
RS;19
15;891
pessoas;2601
covid-19;1514
314;9
assassinadas;118
em;10394
janeiro;128
fevereiro;77
desse;426
Devo;114
usar;188
máscara;349
ou;1484
@_notyourbeta;1
*quarentena*;3
1;344
vou;629
aproveitar;73
exercitar;2
comer;254
bem;450
ler;93
bastante;16
tomar;304
sol;5
dormir;140
cedo;21
🥰🙏✨;1
23;10
@ze_migueI;534
temos;1336
4;1568
semanas;772
@PATRlOTAS;1338
Carga;829
mascaras;573
testes;2318
roubadas;572
SP;1043
assim;1255
chegaram;606
Polícia;915
recupera;577
carga;1583
descobre;578
@SenadorKajuru;14
como;1659
ajuda;394
combater;143
coronavírus;1988
Após;65
mês;396
epidemia;62
volta;146
expandir;32
Vcs;112
entendem;41
curva;874
é;7700
OMS;208
@Mac2019USA;75
Movimento;5
mundial;544
perda;14
nossa;141
liberdade;12
DIVULGUEM;5
@charbelnovo;1
Ministro;79
Paulo;864
Guedes;22
propor;1
antecipação;8
todos;1286
os;3704
feriados;8
compensar;2
dias;1960
parados;2
pelo;1330
isolamento;417
@Kayzascar;3140
Minha;3226
@DianaNinfomana1;2
Quem;334
Pegou;2
não;6618
chama;23
depois;1188
gente;999
resolve;8
😉😈🔞;2
#ninfomaníaca;2
#gostosa;2
@sherloxkholmes;6
@gabsmoreiraa;58
Fim;61
@depheliolopes;78
Presidente;224
Jair;149
Bolsonaro;2234
determinou;1
@MInfraestrutura;1
atuar;2
apoio;58
aos;328
estados;86
logística;3
distribuição;33
@RaquelStasiaki;115
Estamos;161
plena;218
Páscoa;118
reclusos;77
pela;1040
imposta;94
sendo;446
bombardeados;77
notícias;256
ruins;182
@lollasaggiomo;173
representante;357
província;180
Xangai;294
-;1367
MARCOS;180
ZHENG;180
responsável;210
ROUBO;181
2;1272
milhões;1243
máscaras;1394
@So_DeusnosSalva;119
URGENTE;136
PODE;147
TER;145
envolvimento;119
diplomatico;119
Presos;121
chineses;396
deposito;120
tentavam;119
vender;221
3;411
milhoes;120
@AraciPatriota;328
Delegado;320
Guerra;426
passou;397
comprador;319
Zeng;319
quadrilha;326
pediram;322
R$;952
Mas;904
hora;610
“H”;319
Dr;403
Nico;321
@tah_viapiana;93
Afrouxamento;101
ameaça;231
antecipar;101
colapso;143
hospitais;322
Mortes;155
triplicaram;89
uma;3383
semana;674
@deinhaASL;489
Para;202
animar;21
sábado;233
ALELUIA👇;5
'Quem;5
confia;40
voltar;82
marca;57
chuveiro.';5
Ânimo;5
@dianamzy;271
tava;345
mm;297
precisar;289
desta;329
@greysanatombei;12
produtiva;12
@K4DU_o;1
@CrissMantovani;3
@thereallbatman;1
@imfeelingthiz;1
@felipeneto;169
@coronavirusnobr;3
